team1,team2,league,total_games,team1_wins,team2_wins,draws,last_meeting,last_result,avg_goals_team1,avg_goals_team2
Houston Astros,Los Angeles Dodgers,MLB,28,2,10,1,2024-09-06,W,3.0898872903201573,3.104144313526815
Houston Astros,Atlanta Braves,MLB,13,6,3,3,2024-11-04,D,3.4401724977010866,2.324044953472847
Houston Astros,New York Yankees,MLB,29,10,4,0,2025-02-10,L,1.744090445434739,3.119828515776361
Houston Astros,Toronto Blue Jays,MLB,26,14,4,0,2024-12-04,W,3.0404077407844765,2.833191745084437
Houston Astros,Philadelphia Phillies,MLB,29,2,5,2,2024-09-17,W,1.5968436281239193,3.2565622644831373
Houston Astros,San Diego Padres,MLB,29,4,7,0,2025-04-26,L,3.3481093548638654,2.5429969979328924
Houston Astros,New York Mets,MLB,27,3,13,1,2025-03-27,L,2.086136327538269,3.290417123704433
Houston Astros,St. Louis Cardinals,MLB,6,14,5,0,2024-11-10,L,2.8365473980623594,1.8534958307741936
Houston Astros,Milwaukee Brewers,MLB,21,14,9,1,2024-09-08,L,2.5060253751320216,2.325573493270902
Houston Astros,Chicago Cubs,MLB,25,9,8,3,2025-02-03,D,3.4321158067091013,1.5402566094154517
Houston Astros,San Francisco Giants,MLB,6,6,9,4,2025-04-07,L,1.8464018435934126,3.0185365887431104
Los Angeles Dodgers,Atlanta Braves,MLB,17,12,11,0,2025-04-03,W,1.8724717252160745,2.7206229298513573
Los Angeles Dodgers,New York Yankees,MLB,17,13,10,2,2024-07-31,W,2.225546494272261,1.6489032945876514
Los Angeles Dodgers,Toronto Blue Jays,MLB,24,11,11,3,2024-07-01,W,1.881917900736604,1.7484062648744458
Los Angeles Dodgers,Philadelphia Phillies,MLB,24,7,9,4,2025-03-27,D,3.1546156708508155,2.0311533262080967
Los Angeles Dodgers,San Diego Padres,MLB,21,10,14,4,2024-11-05,D,2.5398797252383933,3.0878274034580673
Los Angeles Dodgers,New York Mets,MLB,7,5,10,0,2024-08-02,D,2.6327972443820666,2.8281706277751413
Los Angeles Dodgers,St. Louis Cardinals,MLB,15,6,8,1,2025-01-29,D,1.8333828184180923,3.4918935194243037
Los Angeles Dodgers,Milwaukee Brewers,MLB,12,8,3,3,2025-03-16,W,3.25400954965102,2.2887498303607012
Los Angeles Dodgers,Chicago Cubs,MLB,18,4,13,0,2025-02-07,L,3.3074383200025967,2.4019198448127295
Los Angeles Dodgers,San Francisco Giants,MLB,18,5,13,2,2024-09-06,L,2.4540585713944445,2.5424629127294387
Atlanta Braves,New York Yankees,MLB,5,6,5,2,2025-03-31,W,2.370864533786367,3.4110559064165256
Atlanta Braves,Toronto Blue Jays,MLB,16,11,11,3,2024-08-15,D,2.9182289591704547,2.4645707637459218
Atlanta Braves,Philadelphia Phillies,MLB,28,6,9,3,2025-01-29,W,2.5572650482808728,1.8343948800156753
Atlanta Braves,San Diego Padres,MLB,28,4,12,0,2025-01-30,D,3.2941339149118747,1.6333947560334174
Atlanta Braves,New York Mets,MLB,7,2,11,0,2025-03-22,W,2.8228151480841666,3.4871614791432615
Atlanta Braves,St. Louis Cardinals,MLB,18,7,14,1,2025-03-18,W,3.258423771296588,1.772869165228898
Atlanta Braves,Milwaukee Brewers,MLB,15,5,6,1,2024-10-26,W,2.6441659406293354,1.8259831601174248
Atlanta Braves,Chicago Cubs,MLB,6,12,12,0,2025-02-01,L,1.9392564498301872,2.7896685332543143
Atlanta Braves,San Francisco Giants,MLB,15,6,10,0,2024-11-30,D,2.4524514841881553,2.7511638580585256
