team1,team2,league,total_games,team1_wins,team2_wins,draws,last_meeting,last_result,avg_goals_team1,avg_goals_team2
Boston Celtics,Denver Nuggets,NBA,6,8,13,0,2025-04-13,D,1.5009218621228588,3.2885242473102716
Boston Celtics,Milwaukee Bucks,NBA,9,10,7,0,2024-11-01,W,1.514805924910279,2.648563244699397
Boston Celtics,Phoenix Suns,NBA,27,14,9,0,2024-09-18,W,1.9552461320410046,2.9882231096206837
Boston Celtics,Golden State Warriors,NBA,26,2,12,1,2024-09-17,W,3.282199020730146,3.051299103451477
Boston Celtics,Miami Heat,NBA,5,12,13,4,2025-02-13,L,1.6005146299715123,1.7642072835305642
Boston Celtics,Philadelphia 76ers,NBA,10,6,14,0,2024-11-21,W,2.83214046151838,3.209033719249691
Boston Celtics,Los Angeles Lakers,NBA,14,8,13,1,2024-08-29,D,2.0232745526791955,3.249826970119045
Boston Celtics,Dallas Mavericks,NBA,6,6,11,4,2024-12-01,L,2.1363850413878698,2.0708452008508402
Boston Celtics,Memphis Grizzlies,NBA,19,10,10,2,2024-11-24,L,2.9627769059049305,2.7190196368556583
Boston Celtics,Sacramento Kings,NBA,29,14,10,1,2024-12-30,D,2.853937956607143,3.3840575061548837
Boston Celtics,Cleveland Cavaliers,NBA,15,10,10,1,2024-08-03,D,3.1676521541002267,1.51595137268753
Denver Nuggets,Milwaukee Bucks,NBA,24,12,11,0,2024-06-27,W,2.0186224957179912,3.431950247890282
Denver Nuggets,Phoenix Suns,NBA,6,13,10,4,2025-04-08,W,3.239423618826355,3.1349301071372455
Denver Nuggets,Golden State Warriors,NBA,27,8,2,0,2024-08-12,D,2.3644081098788012,2.2337165447327294
Denver Nuggets,Miami Heat,NBA,11,6,8,3,2024-12-03,D,1.7117739611581229,2.938024803943203
Denver Nuggets,Philadelphia 76ers,NBA,6,5,13,4,2025-02-15,D,2.7133068300859104,2.129543240913719
Denver Nuggets,Los Angeles Lakers,NBA,12,14,4,3,2024-12-07,L,3.0386839422236207,2.999015361732794
Denver Nuggets,Dallas Mavericks,NBA,11,7,9,0,2025-03-03,L,2.833567147781036,2.373798945904305
Denver Nuggets,Memphis Grizzlies,NBA,13,10,5,0,2024-10-07,D,1.813500340821113,1.5551880994897531
Denver Nuggets,Sacramento Kings,NBA,10,5,11,1,2025-02-08,L,2.775220979114445,2.5572636169946734
Denver Nuggets,Cleveland Cavaliers,NBA,25,14,7,1,2025-02-14,W,2.292994478546359,3.032086785035116
Milwaukee Bucks,Phoenix Suns,NBA,26,6,4,4,2025-05-13,D,3.0398071281841412,1.8115297714202827
Milwaukee Bucks,Golden State Warriors,NBA,26,11,14,4,2025-03-29,D,2.643237075014289,2.152365513487947
Milwaukee Bucks,Miami Heat,NBA,8,7,14,4,2024-08-10,L,3.007095471193913,2.0642627582836104
Milwaukee Bucks,Philadelphia 76ers,NBA,11,9,5,3,2025-01-26,W,3.0181989901990995,2.891029631938836
Milwaukee Bucks,Los Angeles Lakers,NBA,13,9,4,0,2024-08-21,L,2.67136754176509,2.360645838466959
Milwaukee Bucks,Dallas Mavericks,NBA,16,10,3,0,2024-12-08,L,3.31382960727072,2.498549281960644
Milwaukee Bucks,Memphis Grizzlies,NBA,19,9,9,1,2024-11-25,L,3.0539386768504686,1.7619056285432582
Milwaukee Bucks,Sacramento Kings,NBA,21,10,12,3,2024-10-26,L,2.6635062837108405,1.558400530486439
Milwaukee Bucks,Cleveland Cavaliers,NBA,8,12,14,2,2024-10-13,L,2.3785680716364714,3.3954339606837918
Phoenix Suns,Golden State Warriors,NBA,6,4,6,3,2024-10-17,D,1.7728531833374719,2.484020621388405
Phoenix Suns,Miami Heat,NBA,12,3,13,0,2025-04-06,L,3.169508946774661,3.230775229408596
Phoenix Suns,Philadelphia 76ers,NBA,12,13,9,0,2024-12-26,L,1.587328306962912,1.6856711746929323
Phoenix Suns,Los Angeles Lakers,NBA,10,2,4,3,2024-10-27,D,2.6087607826372166,2.2512472712311635
Phoenix Suns,Dallas Mavericks,NBA,19,7,12,0,2024-07-31,W,2.1940916311824377,1.7899965330842826
Phoenix Suns,Memphis Grizzlies,NBA,25,8,9,2,2024-11-28,L,3.005538568443756,2.1123558820724986
Phoenix Suns,Sacramento Kings,NBA,23,7,9,1,2025-05-07,D,2.757001929926065,2.051835738606583
Phoenix Suns,Cleveland Cavaliers,NBA,17,12,14,0,2025-05-08,D,3.1324410260495927,3.4536556163088625
Golden State Warriors,Miami Heat,NBA,10,8,2,1,2024-06-25,W,2.57875118395405,2.227151947762991
Golden State Warriors,Philadelphia 76ers,NBA,8,4,7,1,2025-03-19,D,2.8721755699532023,1.5067726728033004
Golden State Warriors,Los Angeles Lakers,NBA,5,9,8,1,2025-04-10,D,3.109855653618551,2.5987685233907216
