team1,team2,league,total_games,team1_wins,team2_wins,draws,last_meeting,last_result,avg_goals_team1,avg_goals_team2
Kansas City Chiefs,Buffalo Bills,NFL,28,9,6,3,2024-10-24,L,2.1463696268332004,2.608723099161963
Kansas City Chiefs,Philadelphia Eagles,NFL,17,9,2,2,2024-11-10,D,1.9263592753852794,1.5067430781569702
Kansas City Chiefs,San Francisco 49ers,NFL,24,3,5,1,2025-03-10,L,2.7411017329788354,2.556031711643405
Kansas City Chiefs,Dallas Cowboys,NFL,7,14,7,3,2024-11-21,D,2.2085045571659663,2.22829051652466
Kansas City Chiefs,Green Bay Packers,NFL,14,5,14,2,2025-02-20,L,3.2448388177112424,3.393567930284526
Kansas City Chiefs,Baltimore Ravens,NFL,8,8,12,0,2024-08-01,W,2.1324794082556395,3.4232622090737577
Kansas City Chiefs,Miami Dolphins,NFL,8,14,3,1,2024-12-30,L,2.893058651778436,2.600161020494024
Kansas City Chiefs,New England Patriots,NFL,8,8,8,4,2024-11-25,W,2.511892604875209,2.8058772504076055
Kansas City Chiefs,New York Jets,NFL,23,13,3,3,2025-02-16,W,3.295316983125054,2.795647029279194
Kansas City Chiefs,Las Vegas Raiders,NFL,11,12,12,3,2024-10-08,D,1.5220437380457088,2.122241581374907
Kansas City Chiefs,Denver Broncos,NFL,5,14,13,0,2025-05-18,L,3.3367380707274723,2.377842113642706
Buffalo Bills,Philadelphia Eagles,NFL,17,7,8,3,2025-03-10,L,3.191551770119446,1.9174726635894923
Buffalo Bills,San Francisco 49ers,NFL,24,14,14,3,2024-12-25,W,2.8347119126430984,2.1071408505896043
Buffalo Bills,Dallas Cowboys,NFL,18,6,7,4,2025-04-06,L,2.433889848906536,2.1696652422037905
Buffalo Bills,Green Bay Packers,NFL,18,6,9,4,2025-03-11,D,2.2801674429122523,2.699157872981905
Buffalo Bills,Baltimore Ravens,NFL,23,9,9,0,2024-12-19,D,2.70633246735433,3.126009630690052
Buffalo Bills,Miami Dolphins,NFL,7,10,10,2,2024-07-28,W,1.6591672406239026,3.4221163143115545
Buffalo Bills,New England Patriots,NFL,13,11,11,0,2025-02-27,L,3.121170499729523,3.3510894510131393
Buffalo Bills,New York Jets,NFL,8,12,12,3,2024-11-15,W,2.354867090027975,2.7321633456570407
Buffalo Bills,Las Vegas Raiders,NFL,28,10,8,3,2025-03-30,L,3.086197451144045,3.3138888595686398
Buffalo Bills,Denver Broncos,NFL,23,8,11,4,2024-08-22,L,2.895570897536199,1.7394993479297896
Philadelphia Eagles,San Francisco 49ers,NFL,12,3,13,0,2024-12-13,L,3.0170898596334865,2.066694370167804
Philadelphia Eagles,Dallas Cowboys,NFL,12,6,9,0,2024-09-13,W,2.0046557949909403,3.3610678260495366
Philadelphia Eagles,Green Bay Packers,NFL,24,12,13,3,2024-12-17,D,3.2550416098484147,1.575051614394069
Philadelphia Eagles,Baltimore Ravens,NFL,5,7,8,2,2025-04-12,D,2.191372546475512,1.5750166765194233
Philadelphia Eagles,Miami Dolphins,NFL,24,7,12,2,2024-10-28,L,2.0566104769987725,3.326815270458666
Philadelphia Eagles,New England Patriots,NFL,22,3,2,1,2024-12-01,L,2.0733282673482902,1.6363988420634812
Philadelphia Eagles,New York Jets,NFL,5,9,2,0,2024-07-10,W,3.087334354137375,1.7351959504899837
Philadelphia Eagles,Las Vegas Raiders,NFL,16,3,6,3,2025-04-21,W,2.3013570913594315,2.591193142602196
Philadelphia Eagles,Denver Broncos,NFL,22,9,7,1,2025-01-09,D,2.2783381518570835,2.070943045281596
San Francisco 49ers,Dallas Cowboys,NFL,17,5,9,0,2024-11-26,W,2.0744253795764482,3.4886643016906187
San Francisco 49ers,Green Bay Packers,NFL,27,14,2,2,2025-04-25,D,2.956193850789069,2.3426491383409203
San Francisco 49ers,Baltimore Ravens,NFL,21,3,12,2,2024-09-14,D,3.1887769480906627,1.6611963643663148
San Francisco 49ers,Miami Dolphins,NFL,16,6,7,2,2025-01-02,D,2.3618521833492876,3.19840504063549
San Francisco 49ers,New England Patriots,NFL,22,11,7,3,2024-08-30,L,2.4864299711327105,2.600699885012582
San Francisco 49ers,New York Jets,NFL,8,2,11,1,2025-01-02,D,1.9422056826713543,2.9004363664954402
San Francisco 49ers,Las Vegas Raiders,NFL,20,3,5,1,2024-08-26,L,1.8186464600573118,2.2615653164396794
San Francisco 49ers,Denver Broncos,NFL,28,4,2,2,2025-01-26,D,1.97367775483868,3.0549786447528424
Dallas Cowboys,Green Bay Packers,NFL,8,3,13,1,2024-09-01,D,2.627684640333861,1.9150510838041122
Dallas Cowboys,Baltimore Ravens,NFL,15,5,4,1,2024-11-22,D,1.7660165062890631,2.7826225365569455
Dallas Cowboys,Miami Dolphins,NFL,23,12,13,3,2025-01-10,W,2.662134010883248,1.8136647899126968
Dallas Cowboys,New England Patriots,NFL,28,6,4,3,2025-01-02,D,2.6421795998956954,1.9144318066407604
Dallas Cowboys,New York Jets,NFL,10,9,7,3,2025-01-20,D,2.9618398387056764,2.818191201284451
Dallas Cowboys,Las Vegas Raiders,NFL,6,4,3,1,2024-10-26,L,2.9674059447475103,2.321364751610038
Dallas Cowboys,Denver Broncos,NFL,27,10,13,2,2025-01-11,W,1.5372575111845628,2.3207514222639087
Green Bay Packers,Baltimore Ravens,NFL,27,11,5,2,2025-01-02,L,2.767752376804699,2.7088064393693845
Green Bay Packers,Miami Dolphins,NFL,7,5,8,4,2024-10-09,L,3.0833418581307583,3.2436879044947835
Green Bay Packers,New England Patriots,NFL,22,3,4,4,2025-03-14,W,2.193253142359053,2.9529998159615105
Green Bay Packers,New York Jets,NFL,7,12,11,3,2024-11-01,W,3.4089811598295032,2.2038570838524
Green Bay Packers,Las Vegas Raiders,NFL,19,2,4,4,2024-10-27,L,2.7171719209566003,2.307769066258973
Green Bay Packers,Denver Broncos,NFL,23,7,3,4,2024-12-22,L,3.161102991414025,2.2265002053402223
Baltimore Ravens,Miami Dolphins,NFL,19,2,10,1,2025-04-24,L,2.4415727201490984,3.3141165468322926
Baltimore Ravens,New England Patriots,NFL,29,11,5,4,2024-11-24,W,1.6774495689050528,3.31549383414199
Baltimore Ravens,New York Jets,NFL,24,4,12,1,2024-11-23,D,3.210763722016294,1.8371350750989468
Baltimore Ravens,Las Vegas Raiders,NFL,14,8,11,0,2025-03-06,L,2.6362605500718823,2.4575786769991277
Baltimore Ravens,Denver Broncos,NFL,10,13,10,4,2025-05-20,L,2.197807711456504,3.303675617364233
Miami Dolphins,New England Patriots,NFL,5,2,6,4,2025-01-02,L,3.347867252100756,2.1602661116312056
Miami Dolphins,New York Jets,NFL,26,5,14,1,2025-05-12,L,2.2363902452798876,3.1418998820645787
Miami Dolphins,Las Vegas Raiders,NFL,21,11,11,1,2025-02-14,L,2.600347616208124,1.7721537031821923
Miami Dolphins,Denver Broncos,NFL,7,6,13,4,2024-08-04,L,1.8602206641782357,3.243147776178496
New England Patriots,New York Jets,NFL,16,12,5,4,2025-03-29,L,1.5040713923170892,1.6234030605803225
New England Patriots,Las Vegas Raiders,NFL,8,9,9,3,2025-04-13,L,3.3743409345405153,2.6222488163285416
New England Patriots,Denver Broncos,NFL,14,10,2,0,2024-08-20,L,2.862130027460528,3.3247314096433076
New York Jets,Las Vegas Raiders,NFL,18,11,10,2,2024-11-07,L,2.292999929646505,3.407565510507188
New York Jets,Denver Broncos,NFL,20,5,8,0,2024-12-16,D,2.975306335052802,3.448049557905618
Las Vegas Raiders,Denver Broncos,NFL,22,8,7,2,2025-01-18,L,2.6606910025612818,1.5330569552173055
